BMS_Object ID,BMS_Item Reference,BMS_Object Type,BMS_Name,Point_Type,BMS_Units,Interval Sec,DC,Block,Floor
e90ca795-bfd8-5ac0-add3-b57478bfcf13,HMS-T:SNE-T1-L27-01/FC1.VAV-09H.DPR-O,AO Mapper,DPR-O,,,0,FALSE,,
aae89b03-d4ab-5e76-abb9-24db46a9b7d5,HMS-T:SNE-T1-L32-01/FC1.VAV-65.ZN-T-SP,AV Mapper,ZN-T-SP,,,0,FALSE,,
c6591987-c557-5656-b579-e1a408326098,HMS-T:SNE-T1-L25-01/FC1.VAV-04.DPR-O,AO Mapper,DPR-O,,,0,FALSE,,
ef9cea16-6a85-5d2f-8c7c-9dbbcfcc9c92,HMS-T:SNE-T2-L15-01/FC1.VAV-05.DPR-O,AO Mapper,DPR-O,,,0,FALSE,,
bb859c64-7eb7-5bae-872e-b71bcb2e7aea,HMS-T:SNE-T1-L36-02/FC1.DDC-T1-UR-01.PWT-T1-B-HL,BI Mapper,PWT-T1-B-HL,,,0,FALSE,,
c081ab1f-76e3-5518-a5fc-d2ea7556d862,HMS-T:SNE-T2-L22-01/FC1.VAV-07H.ZN-T-SP,AV Mapper,ZN-T-SP,,,0,FALSE,,
0af8b413-f9bb-5f4b-a246-562b3e4b4147,HMS-T:SNE-T1-L25-01/FC1.VAV-23H.CLGUNOCC-MINFLOW,AV Mapper,CLGUNOCC-MINFLOW,,,0,FALSE,,
2226fe2d-700d-5bc0-b98b-db5545486f16,HMS-T:SNE-T1-L27-01/FC1.VAV-27.ZN-T,AI Mapper,ZN-T,,,0,FALSE,,
2a391c26-dc7c-534f-bcc9-f156fab63e7e,HMS-T:SNE-T1-L28-01/FC1.VAV-16H.SA-F,AV Mapper,SA-F,,,0,FALSE,,
3d30e348-1449-5a73-a390-25ebc80c01a3,HMS-T:SNE-T1-L15-01/FC1.VAV-42H.CLG-MAXFLOW,AV Mapper,CLG-MAXFLOW,,,0,FALSE,,
4bd78ffc-0c4f-5992-a5d6-fecf8c2b3474,HMS-T:SNE-T2-L31-01/FC1.VAV-57H.DPR-O,AO Mapper,DPR-O,,,0,FALSE,,
